ปีการศึกษา,ชื่อโรงเรียน,อำเภอที่ตั้งรร.,ขนาดโรงเรียน,ที่ตั้งโรงเรียน,สังกัด,เขตพื้นที่ฯ,จำนวนผู้เข้าสอบ,ว 1.1 (Mean),ว 1.1 (S.D.),ว 1.2 (Mean),ว 1.2 (S.D.),ว 1.3 (Mean),ว 1.3 (S.D.),ว 2.1 (Mean),ว 2.1 (S.D.),ว 2.2 (Mean),ว 2.2 (S.D.),ว 2.3 (Mean),ว 2.3 (S.D.),ว 3.1 (Mean),ว 3.1 (S.D.),ว 3.2 (Mean),ว 3.2 (S.D.),ว 4.2 (Mean),ว 4.2 (S.D.)
2565,สามัคคีสันม่วง,กัลยาณิวัฒนา,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,22,18.18,38.57,29.55,35.06,9.09,28.75,42.05,18.67,33.33,24.62,20.45,32.54,50.00,26.11,31.82,25.58,20.45,28.84
2565,ณัทชวิทย์,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,-,25,60.00,48.99,42.00,31.40,32.00,46.65,63.00,27.27,38.67,29.33,46.00,34.41,62.00,29.26,69.33,24.80,42.00,39.19
2565,เทศบาลจอมทอง ๑ (ชุมชนบ้านข่วงเปาเหนือ),จอมทอง,เล็ก,นอกเมือง,กรมส่งเสริมการปกครองท้องถิ่น,ท้องถิ่นจังหวัดเชียงใหม่,26,42.31,49.40,35.58,34.79,26.92,44.36,50.48,20.65,24.36,27.04,17.31,27.53,51.92,25.87,50.00,32.36,32.69,33.80
2565,ไทยรัฐวิทยา 79 (บ้านหนองอาบช้าง),จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,12,16.67,37.27,45.83,41.87,16.67,37.27,41.67,29.46,27.78,26.64,20.83,24.65,62.50,21.65,44.44,28.33,33.33,23.57
2565,นิยมไพรผาหมอนอินทนนท์,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,19,42.11,49.37,39.47,28.46,47.37,49.93,32.24,20.80,28.07,29.15,34.21,32.66,44.74,35.89,61.40,27.07,13.16,27.35
2565,บ้านข่วงเปาใต้,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,5,20.00,40.00,60.00,20.00,0.00,0.00,42.50,18.71,13.33,16.33,30.00,40.00,50.00,0.00,46.67,26.67,10.00,20.00
2565,บ้านขุนกลาง,จอมทอง,กลาง,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,32,12.50,33.07,31.25,31.87,0.00,0.00,42.97,22.08,21.88,24.45,26.56,33.03,40.63,34.09,39.58,29.39,26.56,30.58
2565,บ้านขุนกลาง สาขาแม่ยะน้อย,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,4,25.00,43.30,12.50,21.65,0.00,0.00,21.88,25.58,8.33,14.43,37.50,41.46,25.00,25.00,25.00,27.64,12.50,21.65
2565,บ้านขุนแตะ,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,15,33.33,47.14,40.00,28.58,26.67,44.22,38.33,25.60,44.44,26.29,33.33,34.96,53.33,28.67,44.44,23.31,36.67,33.99
2565,บ้านขุนยะ,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,7,14.29,34.99,32.14,17.50,71.43,45.18,50.00,18.90,33.33,25.20,21.43,24.74,42.86,17.50,38.10,27.77,35.71,34.99
2565,บ้านท่าข้าม,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,7,0.00,0.00,28.57,20.82,0.00,0.00,42.86,23.01,23.81,29.35,42.86,31.94,50.00,0.00,52.38,34.99,42.86,41.65
2565,บ้านท่าหลุก,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,3,0.00,0.00,50.00,0.00,0.00,0.00,29.17,15.59,22.22,15.71,0.00,0.00,33.33,23.57,55.56,15.71,33.33,23.57
2565,บ้านน้ำตกแม่กลาง,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,9,11.11,31.43,36.11,29.13,44.44,49.69,31.94,25.76,22.22,22.22,38.89,39.28,50.00,23.57,37.04,36.66,33.33,33.33
2565,บ้านบนนา,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,15,33.33,47.14,35.00,35.12,20.00,40.00,26.67,20.85,28.89,31.89,16.67,23.57,40.00,37.42,42.22,35.42,23.33,24.94
2565,บ้านปากทางท่าลี่,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,7,57.14,49.49,60.71,18.21,85.71,34.99,46.43,17.31,23.81,23.33,57.14,31.94,42.86,31.94,57.14,29.35,0.00,0.00
2565,บ้านเมืองกลาง,จอมทอง,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,6,16.67,37.27,25.00,25.00,33.33,47.14,56.25,20.09,33.33,19.25,16.67,23.57,50.00,28.87,61.11,12.42,16.67,23.57
